"","B1","B2","B3","B5","B6","B7","B9","B10","B11","B14","B15","B16"
"ENSMUSG00000000001",12.4853117156251,12.5283774210945,12.4475549227056,12.4828568586311,12.4490760583626,12.5482061915889,12.43542304895,12.4913189596392,12.5019176033659,12.3664036858016,12.5790146826309,12.5748710435545
"ENSMUSG00000000028",7.07842532608487,7.40591203918075,7.3968047125918,7.22341769491833,7.15933087989551,7.68680115676896,7.37594758164495,7.19630579719547,7.46813976825961,7.04344207740707,7.4745398768464,7.56235332566031
"ENSMUSG00000000031",6.25630148166719,5.13204630678908,5.41825132393607,6.28203826876728,4.95373343323782,5.56797057727373,5.68136231054803,5.81490725875272,5.15619889912126,5.6484147588205,5.20393165192152,5.86648823765889
"ENSMUSG00000000037",6.31968457594243,5.93505841847495,6.4141270776809,6.5407741658661,6.15936171200039,6.0415897533136,6.01809516226823,6.54685083785334,6.17045887481682,6.7261286365158,5.74122620620396,6.0229161811493
"ENSMUSG00000000049",3.57290301922296,1.04149740028486,5.23627349283369,3.46450562361262,3.24787474819522,3.78208630763074,3.68930980454223,3.35453503353069,3.19272199731861,2.39632786669597,4.08514932217731,3.88679991171879
"ENSMUSG00000000056",11.3005207645102,11.0649549715883,11.0863687754004,11.2770033782808,11.0396374440984,11.1101371901753,11.2741713481683,10.9467312529366,10.9924225819093,11.2324743299497,11.1510355122517,10.9698308085513
"ENSMUSG00000000058",12.0206678682655,12.1407887013648,11.9892674039775,12.1087818055005,12.0470365222198,11.8995413909959,12.2461938061272,11.8772229971078,12.0199585767728,12.1758594171068,12.1608892897533,11.8941701342882
"ENSMUSG00000000078",12.2531361325202,12.1761062835724,12.1335719508433,12.1839556102756,12.1504115597208,12.0980008327491,12.2826283450888,12.2443374981326,12.2308072279701,12.196073097049,12.2617447858112,12.1720054816056
"ENSMUSG00000000085",10.0678815237456,10.2096119617578,10.3047791662854,10.078864711004,10.1845438827443,10.2764153512388,10.034000291873,10.1681536808145,10.3294797058034,10.0848969779521,10.1429651893843,10.2905841814499
"ENSMUSG00000000088",10.568196461081,10.4612348206859,10.6209259323029,10.4343065573803,10.4401326949695,10.8966322298337,10.6908680095729,10.3046312403813,10.6677361047915,10.5647848736948,10.5850148448062,10.6071790077523
"ENSMUSG00000000093",6.54506867262509,7.21351274704626,7.52088821777228,6.59720940382437,7.56146602451155,7.17962882898123,6.08214406029722,7.64481771750649,7.46959672694499,6.80489455310586,6.55193475762351,7.44144787820128
"ENSMUSG00000000126",7.11133576722821,6.51403314303744,6.20691573071514,6.96887529747798,6.29280695542998,6.63660049549906,6.68562430907638,6.73814989880006,6.09371146524174,7.66618409635195,6.00327859790317,5.74951368702225
"ENSMUSG00000000127",10.8788743514051,11.0254161506418,10.9831303156255,10.9884539294227,11.0000109681969,10.9134752602872,10.6923771891798,11.0477445353343,11.0022013359659,10.7482161030766,11.0244598459974,11.0725867069037
"ENSMUSG00000000131",11.5605504090295,11.4474736259867,11.4114657816988,11.6564948312885,11.4782322231727,11.2683583115615,11.5010329822481,11.4393921087389,11.3866294263377,11.4662746445567,11.516652494497,11.4124189238894
"ENSMUSG00000000134",11.4737528921833,11.3654991523958,11.4261630285153,11.4905158130757,11.3951900308218,11.4075173368454,11.4490186750256,11.3963905844554,11.4796047961338,11.3346129817338,11.5829841863003,11.5252818610251
"ENSMUSG00000000148",10.27978586558,10.2545164461185,10.2795754635209,10.2185352668053,10.2516352352731,10.2546486224638,10.3111575119897,10.3273639671127,10.2435859185925,10.3943954832741,10.2516226946281,10.1467746357649
"ENSMUSG00000000149",12.0269597820938,11.9109401827592,11.902700504139,11.9587917286997,11.9794668688927,11.8994573838253,12.0747518323129,11.8690857974337,11.8534814557626,11.953142202189,11.9608496583146,11.9214193410654
"ENSMUSG00000000154",4.91306078942813,3.16527220570884,4.30349631988641,3.61244856937199,3.27230816935424,5.1270399512316,3.39563525308424,4.15103912507104,4.60174954275363,4.66011120644723,3.03822198927003,4.10765988487348
"ENSMUSG00000000167",5.09866343771592,5.78899757685469,5.12815151919391,5.2157426777655,5.29567325124108,5.58316906438038,5.42737941731547,5.43642426159146,5.27443619860779,5.00202669480848,5.64155427544116,5.44269506957664
"ENSMUSG00000000168",11.2774114596452,11.3669390146169,11.2804123987749,11.3366886254624,11.2362701035436,11.3848230178856,11.4751979880822,11.2438776726383,11.3072123818836,11.678511875358,11.1518574904678,11.121685920117
"ENSMUSG00000000171",11.3623743640237,11.3120963197305,11.206484694538,11.2054385456775,11.2246273821812,11.4698904605507,11.4470054702304,11.187199720611,11.3363121744519,11.4270583529893,11.2579090102716,11.2424176307884
"ENSMUSG00000000184",14.0544574899314,14.2078698273404,14.1276382648804,14.1578547612796,14.2886969519194,13.8743234107448,14.1186356178422,14.1276875647861,14.0742520473312,13.8090983038053,14.3608120208262,14.3355593793059
"ENSMUSG00000000194",12.1904091857819,12.2536847493208,12.2766492070699,12.2125915931467,12.3385970654567,12.1371390113388,12.0639190311741,12.3163506176127,12.3013854386919,12.0889793908207,12.2564589397223,12.3913928434627
"ENSMUSG00000000197",4.06491352362083,1.78736726017385,4.49602899414782,3.75194677570583,2.2818808481727,4.28841732700137,3.43103803093862,3.05662359279748,4.09503601469887,4.12734487125844,3.91456695619574,2.4869757530222
"ENSMUSG00000000223",4.1499695477252,6.78361740786675,7.15617295251462,3.04277650579748,7.16990553940037,7.74359646942211,2.98446319779903,7.61786715567247,7.66481310688097,3.80831651356043,6.94113541259353,7.04227609275631
"ENSMUSG00000000244",4.74850689521256,5.03772289359854,4.5264039457729,4.83592187604072,5.15209888768186,4.62562230297585,4.58331471467175,4.71974672938123,4.88624471363589,5.06060676935366,4.00629383828162,4.7101195615071
"ENSMUSG00000000247",4.58201502432803,5.41748551020995,4.56231710600321,4.97168655816234,5.01391857216949,4.78186511884346,5.13118911797413,5.16273258167271,4.22644923392337,4.35633272736836,5.36221009788184,4.6822816503463
"ENSMUSG00000000248",0.410586884852958,1.46188625369008,1.71979900195433,1.44712307167342,0.864630474404691,1.04734418676163,0.995315950500305,1.37129542194081,1.62824219449064,0.28169999528896,1.11963129252627,2.87665556261057
"ENSMUSG00000000253",7.640445415966,7.65578106337546,8.07458571710912,7.60883677047643,7.77553134275325,7.97009083979011,7.60713051792427,8.15437666191206,7.43190958926414,8.05600968480916,7.62438073002517,7.41197586788239
"ENSMUSG00000000266",0,0,0,2.40621939812385,0,0,2.51243023517982,0.583333333333333,2.42813893194333,0,0,1.0487468750601
"ENSMUSG00000000275",12.3211917793171,12.0399398460449,12.0908054938174,12.4155144966955,12.1003095501752,11.8663107306116,12.2965850326403,11.8433624691848,12.1678768447005,12.1959165019523,12.2552932064989,12.1344192452025
"ENSMUSG00000000276",8.85373544124795,8.68785250563729,8.69798397314916,8.99023407609142,8.68165770728803,8.63665807406495,8.8107676006631,8.73407829582398,8.7248227207764,9.00640776403045,8.54646781194582,8.64827274371843
"ENSMUSG00000000278",14.4660022386418,14.4543656290966,14.3944860020643,14.4910203213974,14.4389533628272,14.3630731098486,14.450354000866,14.420080400873,14.4143962296184,14.6518456781674,14.2882740260594,14.292493186261
"ENSMUSG00000000282",11.9439372124879,11.6153533432992,11.6310736252776,11.9289108714983,11.6384283424568,11.4880895710149,11.8222829255503,11.6496526721074,11.6368655727397,11.8672084001157,11.6506531797259,11.5813184544229
"ENSMUSG00000000290",9.18353366585955,8.22237077800378,8.48527630517756,9.3415167998028,8.62837830595887,8.01349619516018,9.46139991270411,8.06012801884906,8.49495558430714,8.89536213782539,8.68006956436509,8.74033848436666
"ENSMUSG00000000295",8.93819081758428,8.7912361659174,8.64617957202618,8.53169209620924,8.75194569764729,9.27239019673015,8.6591784089769,8.7833690825841,8.93159533466042,8.7863759123157,8.63721250670415,8.88039539517729
"ENSMUSG00000000296",5.94056269688666,5.61047189962515,5.42852920768817,4.67759970992457,5.96970629316906,6.2975271293991,4.96023976831405,5.97942737333936,6.09909081017858,5.88538666708141,5.201955339682,5.60788159618057
"ENSMUSG00000000301",7.03542776912615,6.68739826096828,6.19022757926744,6.778367380406,6.42212034946962,6.90736877135425,6.86151234544393,6.18573875757894,7.00881185426593,6.37822052047561,6.94571360007158,6.90688722684122
"ENSMUSG00000000317",0,0,0,0,0.965413541726763,0,2.23653826374439,3.46046871001756,2.42813893194333,3.2988929450612,4.52147677506923,5.71967252287286
"ENSMUSG00000000318",1.10518405062592,1.71565324105479,0.906083654075347,1.94183329213621,0.924776249036071,0.950530545579132,2.98820400796625,-0.0115603884829697,1.85799459642517,3.75094436328638,0.518727369266735,0.457174653889706
"ENSMUSG00000000320",0.988294545776113,1.00909343059897,3.43643689040258,1.28369794671525,1.4629256306474,3.45863021017691,2.48739710751953,1.97410192299914,1.905871840912,2.56332914726834,0.402628085030589,2.98144493918268
"ENSMUSG00000000325",10.2961548115596,10.0319395873698,9.94089662458921,10.2332778882067,9.93821005341327,9.98536658066978,10.3102031099958,10.0052875645318,9.92839418085662,10.6084530858033,9.84335716957844,9.64785281026944
"ENSMUSG00000000326",12.1722392588402,11.9837099455006,12.1251310066623,12.102723027628,11.9660795584814,12.1885968473104,12.2347182213301,12.0838146918326,12.0567925145475,12.2695145202849,12.0000520736721,12.0756947450493
"ENSMUSG00000000339",9.4797681948812,9.46382217731264,9.56115385598318,9.38388128130587,9.41694910522431,9.76264953725077,9.45224708347417,9.44277491886884,9.50274295184854,9.18444294400471,9.57245153974703,9.77943420600087
"ENSMUSG00000000340",8.77352743752953,8.75813141532262,8.52109519553682,8.55589844542426,8.71858141322768,8.70001740482896,8.99365713825763,8.69729740518863,8.7238792013234,9.07338683112034,8.7500762231121,8.4941194820277
"ENSMUSG00000000346",13.1890290380198,13.175364674251,13.1088096962808,13.1400827912346,13.0836950897242,13.250399235397,13.1214132795255,13.1245914537428,13.1990954693165,13.3113806891747,13.0577285245608,13.0311292892381
