"","A1","A2","A3_1","A5","A6","A7","A9","A10_1","A11","A13_1","A14","A15"
"ENSMUSG00000000001",12.3058531877228,12.3771971340213,12.4373634692599,12.3262792438065,12.3391454860099,12.4490122454512,12.479534521698,12.381237679051,12.3091569500573,12.449721087785,12.421004656026,12.2991710732957
"ENSMUSG00000000028",11.1546955696049,11.0649408974949,11.1473799913879,11.1303565115562,11.1665992666342,11.1318712814992,11.0999005535685,11.2254721659178,11.1499512476323,11.139765906211,11.1471940478392,11.1748280840643
"ENSMUSG00000000031",8.89381242634237,8.53569961083291,8.97030395320962,7.92371570798344,7.86508503044392,9.1776548974957,8.19373458769768,9.23597263835622,9.30699231098683,9.20117381529342,8.7742167575406,8.68930122139194
"ENSMUSG00000000037",7.00304365920052,7.38573092745747,6.91709261490121,6.9387133771707,7.30316745327126,7.15416982035447,6.98614156183334,7.45645790675427,6.66615959831213,6.58641914700208,7.20966698799411,7.27414826602902
"ENSMUSG00000000049",1.30110879683302,3.09703355714094,2.84050921667631,1.79968294692789,3.32547606911987,2.31812434889704,3.87199705872744,1.38801707283587,1.98172532804054,3.08369683955768,0.429813529736515,3.84720764624283
"ENSMUSG00000000056",10.129366628923,10.2439676021655,10.3061654875946,10.2528645816075,10.1019250257162,10.3211444330968,10.3390883998395,10.1822074288041,10.1349259988063,10.3408499910663,10.28895989932,10.0084715513176
"ENSMUSG00000000058",12.6310468399317,12.8511718737187,12.7491133689151,12.6636783938121,12.6027855455753,12.8910981938771,12.9277769138465,12.5544807607272,12.5551506837594,12.9803235066052,12.5512613260027,12.474208680219
"ENSMUSG00000000078",11.4667231075429,11.215936404605,11.4293054939266,11.583375978123,11.4222462585212,11.1574579794884,11.4333373229497,11.3078458719895,11.3940738575342,11.4292972455134,11.4632241326774,11.2432838329952
"ENSMUSG00000000085",11.3357013083702,11.1651529432534,11.23373419056,11.3589641606728,11.1855146370358,11.207455138833,11.2132592635057,11.2582133567309,11.2849586377116,11.2067994075613,11.2899996516716,11.2937814490814
"ENSMUSG00000000088",11.6891069326436,11.2970629243642,11.213756455393,11.2610681498897,11.3005454624462,11.578495870082,11.2520060397419,11.4089945517743,11.4722568835995,11.3909827027328,11.4245789932813,11.3386892944408
"ENSMUSG00000000093",8.19925894906453,8.32824530094613,8.20040905776931,8.05752613071838,8.27974792167063,8.44788572176574,8.01967074308142,8.26030675304884,8.30275084412857,7.84973638918014,8.63797746799521,8.0939511148622
"ENSMUSG00000000120",3.27144862694543,2.20788237722507,2.62690344943591,2.11685234857555,2.115322420351,3.14195624218609,1.23387695491835,3.37267507119826,2.93833134382579,2.83271744909983,1.81680794294717,2.80838343151662
"ENSMUSG00000000126",6.92391613117597,6.97571683305419,6.17294567585583,7.43854211476457,6.56974449816944,6.11439859741332,6.94336310021184,6.606715279555,6.74954351038951,6.87278157420477,6.77058756998816,6.70121460043953
"ENSMUSG00000000127",10.60368432978,10.7416264375873,10.6954390078231,10.7248636906189,10.9092351394606,10.3647941996526,10.6333681313449,10.7376901538278,10.7302013468023,10.611696362281,10.7512883238264,10.7234360955135
"ENSMUSG00000000131",11.6283624516313,11.7462662523125,11.7302856727634,11.7374665834613,11.7451271101316,11.6271856840681,11.6945630179434,11.6870894698659,11.7580880157627,11.7255865036034,11.6607398001152,11.752240912634
"ENSMUSG00000000134",11.7458932991176,11.486927273762,11.6192899158117,11.654788226753,11.580338109718,11.620800972579,11.6103692662072,11.6309206512113,11.6200547171947,11.5915334322277,11.5327335836792,11.7465265171884
"ENSMUSG00000000142",1.18348018541577,4.38455097717076,2.35372894765423,1.75194103728059,3.09377059647369,3.11692703648935,0.953447038740342,4.01824496389419,3.07051365944268,3.1121147295079,2.18527422375748,2.82817706426626
"ENSMUSG00000000148",9.73639038012456,9.92438775341527,9.74979348608388,9.81241095810625,9.72231358914962,9.838033559922,9.72915055489623,9.84447688398301,9.76468561016433,9.82189515485634,9.78840742584906,9.76121074573571
"ENSMUSG00000000149",12.2082342756316,12.0892372088513,12.0512730999257,12.1630445213209,12.0107518194233,12.1116111858569,12.1330705594511,12.0901111185747,12.0051183429282,12.1491125658108,12.0707109351568,12.0370810992282
"ENSMUSG00000000154",4.51028154808383,4.730674306131,3.5768929497328,4.41922841815312,3.68386472839041,4.74188316809285,5.01669332699273,3.56277722564521,4.25799303039112,4.9335757524126,4.03122574925122,3.88847563228122
"ENSMUSG00000000159",0,0,0,0.965413541726763,0,0,2.11936521830437,0,0,3.28656805380184,0,0
"ENSMUSG00000000167",7.18867699437096,6.53577825012599,6.38266222183089,6.82514861330348,6.62761581712806,6.71471395177259,6.79135300367606,6.96126706853383,6.31907799605735,6.89259065807235,6.3370179019283,6.89497740838424
"ENSMUSG00000000168",11.7026579848829,11.694983321191,11.6541219827758,11.6334895573052,11.5709470781938,11.7744204754677,11.7621292298205,11.6211324112051,11.5525789781429,11.7898205227882,11.6003534056639,11.5417106424217
"ENSMUSG00000000171",11.7634977070553,11.4947307820114,11.5142110816418,11.5940798156733,11.5062647422046,11.6467414508511,11.5388655374352,11.541451994614,11.6581359587232,11.5802746164955,11.6208536411827,11.5611142243685
"ENSMUSG00000000182",0,0,0,3.94910283721069,2.56893622727254,1.01416041678686,5.43631074435798,4.86653036804237,4.22998416833733,5.53649588891133,4.4969187968776,3.73441470613661
"ENSMUSG00000000184",12.8551889871588,13.3241905029267,13.2949155618056,13.0230965640437,13.2798714873373,13.1860704399957,13.0350676737555,13.2449801577588,13.1873860852724,13.1129204062286,13.1948012829232,13.1556121580806
"ENSMUSG00000000194",11.3561810409782,11.3642100579497,11.3191700600692,11.4180706069373,11.4104751219432,11.2182062828173,11.403120591764,11.3972118156459,11.2704635250962,11.4493276980722,11.2981417045269,11.3308621954207
"ENSMUSG00000000204",6.86091921470954,6.06678242665195,7.2750389345686,7.06525134277063,7.25485300499534,6.42835946783624,6.22680793871217,6.84472563140256,7.40402610657383,6.19160207355969,7.10098023258468,7.160189785367
"ENSMUSG00000000223",5.33844271478962,5.26805041996605,5.89213172025079,5.47996445396566,5.52284792215684,5.53665687372447,5.90482628748065,5.80084801399464,4.84589563381144,4.7915468789223,6.03411545142415,5.7730912048634
"ENSMUSG00000000244",3.94323017976875,3.30274632049152,2.11711078782445,3.40105159100164,3.57790023499565,2.29060108542053,3.71375878512418,3.43804873399394,2.04846594004375,2.44679644682795,2.48523598126846,4.20424852356585
"ENSMUSG00000000247",8.17832874808259,8.94229484169681,8.78180420458074,8.25559892077147,8.85247449355377,8.90192161110816,8.11686269939785,8.93028322222891,8.61868516859344,8.38863578989158,8.85849335793748,8.42606094900384
"ENSMUSG00000000248",0,0,0,1.60389504987443,1.92021665680941,1.93117642371915,3.81284858126835,3.5937174656499,3.53168870527225,5.01235038376867,3.68922292708768,3.82175818159473
"ENSMUSG00000000253",7.59016427871377,6.67633170088469,7.34511310831339,7.31549158256246,7.35732195609966,6.92466339591855,7.59341304783274,7.37060775349777,6.82025697429565,6.977347863748,7.49073523319732,7.34736588182479
"ENSMUSG00000000263",0.418151721508333,1.04055712158165,2.56143524260812,0.699904146664499,2.2494216064054,0.835305565717864,0.917270146378095,1.93403524830279,0.927110198923733,-0.464457895081314,2.06751726068467,2.40092629415511
"ENSMUSG00000000266",9.61989520604883,10.4327049617733,10.1814420896949,9.95291796241315,10.3232688271576,9.96105523079791,10.096116796326,10.06608973894,9.97302346456237,10.0488182198282,10.0415943542613,10.0142684954321
"ENSMUSG00000000275",12.831934590112,12.8846488463561,12.9744455144425,12.9649203569165,12.9927192370785,12.8740794300678,12.8724964939387,12.9191381070329,12.9362895919886,12.8354626996271,12.9470875337577,12.9294803580582
"ENSMUSG00000000276",9.08897352016995,9.29346867530209,9.11313631934204,9.04055737463028,9.28293772534816,9.08613005025899,9.2897922932889,9.30201027480133,9.00638020066284,9.1658255004025,9.20492028841614,9.22378813421549
"ENSMUSG00000000278",13.3485457139637,13.1787870978361,13.2837706178068,13.3187415616861,13.2361620615793,13.2175083291629,13.3530795791332,13.2313763495298,13.2585840142445,13.3888475297794,13.2506016733129,13.2067575158832
"ENSMUSG00000000282",10.311035030148,10.2055366237927,10.0779047664335,10.2509616448921,10.1749437686625,10.073946273844,10.4425778953105,10.0439597268975,10.105484482088,10.483163012857,10.0872407669185,10.0253940401561
"ENSMUSG00000000290",6.69623003155063,5.81971881265931,5.48167152640181,6.23718673496944,6.01633866484072,5.5639029120645,7.3033485859772,4.68106478318519,6.07366771866584,6.697694517467,5.59362267297619,5.81162310065105
"ENSMUSG00000000295",9.51669477955588,9.21846645148723,9.1158658560111,9.18130932833592,9.08936083844018,9.51994249152195,9.10110185889987,9.39933116917404,9.30869159829764,9.19364840300514,9.38068267922464,9.24339162235567
"ENSMUSG00000000296",7.3979819332621,6.90038237044555,6.22970459082242,6.98261001565656,6.89918837665819,6.53522494814341,6.92516845032744,7.16370476337452,6.50030672729806,7.40766220298436,6.88559009458598,6.21732441366995
"ENSMUSG00000000301",8.17043427895026,7.72101144727619,7.82862856499973,7.57111446179646,7.92071712193546,8.18496621600761,7.81453524305188,7.64529295045053,8.08065476377091,7.78701520058246,7.76586043186649,7.97114827855952
"ENSMUSG00000000303",3.11163562418517,2.57162671309348,0.935357422749884,1.85518512119997,1.22415070573739,3.50246630814638,0.0986757563889118,3.27498159784247,3.28078087569661,2.50935974302162,0.878862800924379,3.28160940572372
